batch_id,ts,dte_group,symbol,spot,n_contracts,call_vol,put_vol,pc_ratio,net_gex,call_premium,put_premium,net_premium,call_iv,put_iv,iv_skew,atm_straddle,avg_spread_pct,bid_ask_imbalance,trade_aggression,avg_trade_size
423,2026-03-18 15:32:44 EDT,0dte,SPY,662.96,13,357800.0,1731493.0,4.839,-6847.45,12843589.0,248144566.0,-235300978.0,0.6556,0.2523,-0.4032,1.36,4.728,-0.3984,-0.2965,6.95
423,2026-03-18 15:32:44 EDT,0dte,TLT,87.01,5,8863.0,9345.0,1.054,3931.42,54111.0,166068.0,-111957.0,0.315,0.2948,-0.0202,0.18,34.393,0.1849,0.1229,19.35
424,2026-03-18 15:33:10 EDT,0dte,IWM,246.62,6,59309.0,152729.0,2.575,-2927.74,886958.0,9136865.0,-8249906.0,0.3255,0.332,0.0065,0.74,12.495,0.0644,0.215,5.65
424,2026-03-18 15:33:10 EDT,0dte,QQQ,596.84,12,235356.0,752867.0,3.199,-2562.19,9788822.0,75435102.0,-65646280.0,0.2885,0.2734,-0.0151,1.44,4.931,0.135,-0.3201,7.43
424,2026-03-18 15:33:10 EDT,0dte,SPXW,6640.55,18,98269.0,402656.0,4.097,-377.12,31332512.0,212409025.0,-181076512.0,0.2021,0.1925,-0.0096,11.1,5.093,0.0272,0.3213,2.43
424,2026-03-18 15:33:10 EDT,0dte,SPY,663.17,11,362173.0,1548570.0,4.276,-5869.05,15166291.0,224377447.0,-209211156.0,0.2369,0.2449,0.008,1.34,4.545,0.0692,-0.1015,6.86
424,2026-03-18 15:33:10 EDT,0dte,TLT,87.02,4,8970.0,9408.0,1.049,3697.03,49711.0,160906.0,-111194.0,0.2792,0.2792,0.0,0.17,30.099,0.2373,-0.0645,20.0
425,2026-03-18 15:33:37 EDT,0dte,IWM,246.56,5,26592.0,114134.0,4.292,-1742.45,826472.0,3909450.0,-3082978.0,0.3398,0.3095,-0.0303,0.76,7.303,0.7129,0.1127,5.86
425,2026-03-18 15:33:37 EDT,0dte,QQQ,596.89,14,233275.0,1192747.0,5.113,-3314.56,9070384.0,241318934.0,-232248550.0,0.274,0.3194,0.0454,1.41,4.751,-0.4382,0.0409,7.18
425,2026-03-18 15:33:37 EDT,0dte,SPXW,6639.65,18,99097.0,403910.0,4.076,-380.71,28665918.0,229422325.0,-200756408.0,0.1995,0.1898,-0.0097,11.0,4.86,-0.3135,-0.1096,2.43
