batch_id,ts,dte_group,symbol,spot,n_contracts,call_vol,put_vol,pc_ratio,net_gex,call_premium,put_premium,net_premium,call_iv,put_iv,iv_skew,atm_straddle,avg_spread_pct,bid_ask_imbalance,trade_aggression,avg_trade_size
7,2026-03-18 12:26:36 EDT,all,IWM,248.06,158,153968.0,431970.0,2.806,-44096.44,14815485.0,42697584.0,-27882099.0,0.3844,0.3843,-0.0001,2.35,2.223,-0.0437,0.1094,9.07
7,2026-03-18 12:26:36 EDT,all,QQQ,600.63,310,820870.0,1033701.0,1.259,-7369.42,121261996.0,196272050.0,-75010054.0,0.2794,0.2959,0.0165,3.75,1.437,0.1256,0.3618,6.75
7,2026-03-18 12:26:36 EDT,all,SPXW,6681.13,561,362666.0,563067.0,1.553,-483.64,393898962.0,732901960.0,-339002998.0,0.2426,0.2475,0.0049,36.5,2.096,-0.043,0.1693,2.65
7,2026-03-18 12:26:36 EDT,all,SPY,667.17,365,1297603.0,1776518.0,1.369,-21568.09,196385798.0,351561840.0,-155176042.0,0.2227,0.4755,0.2528,3.74,1.495,-0.1611,-0.1349,6.24
7,2026-03-18 12:26:36 EDT,all,TLT,87.33,51,14452.0,10972.0,0.759,15422.14,400290.0,426052.0,-25762.0,0.1772,0.1611,-0.0161,0.38,19.108,-0.0089,0.0706,14.92
8,2026-03-18 12:27:03 EDT,all,IWM,248.12,157,154017.0,432009.0,2.805,-44041.1,15041710.0,42103238.0,-27061529.0,0.3818,0.3833,0.0015,2.35,2.35,-0.0176,0.4956,9.07
8,2026-03-18 12:27:03 EDT,all,QQQ,600.76,313,820783.0,1036849.0,1.263,-7707.0,123083996.0,194317268.0,-71233272.0,0.2703,0.317,0.0467,3.73,1.419,0.0328,0.208,6.74
8,2026-03-18 12:27:03 EDT,all,SPXW,6681.34,560,362978.0,562261.0,1.549,-485.07,399798535.0,711179950.0,-311381415.0,0.2446,0.2444,-0.0002,36.4,2.059,0.1495,0.2722,2.65
8,2026-03-18 12:27:03 EDT,all,SPY,667.24,364,1297038.0,1781086.0,1.373,-21570.25,197668886.0,348011814.0,-150342928.0,0.2167,0.4799,0.2632,3.73,1.451,-0.2194,0.0261,6.24
8,2026-03-18 12:27:03 EDT,all,TLT,87.35,54,14411.0,12393.0,0.86,9803.59,393022.0,687436.0,-294414.0,0.1563,0.1814,0.0251,0.37,18.405,0.0679,0.0998,14.44
9,2026-03-18 12:27:29 EDT,all,IWM,248.11,158,154374.0,432048.0,2.799,-44105.56,15128612.0,42038085.0,-26909473.0,0.3858,0.38,-0.0058,2.36,2.441,0.0026,0.3002,9.07
9,2026-03-18 12:27:29 EDT,all,QQQ,600.76,309,828754.0,1036960.0,1.251,-7342.19,123645254.0,194303204.0,-70657950.0,0.2722,0.2978,0.0256,3.74,1.434,0.0258,-0.0696,6.76
9,2026-03-18 12:27:29 EDT,all,SPXW,6681.56,561,364396.0,561990.0,1.542,-480.08,401786335.0,707620845.0,-305834510.0,0.2436,0.2438,0.0003,36.35,2.042,0.1718,0.1727,2.65
9,2026-03-18 12:27:29 EDT,all,SPY,667.31,370,1298216.0,1759918.0,1.356,-21492.55,200831386.0,345274652.0,-144443267.0,0.2179,0.4759,0.258,3.73,1.394,-0.2259,-0.1101,6.22
9,2026-03-18 12:27:29 EDT,all,TLT,87.35,55,14453.0,12393.0,0.857,9844.7,394074.0,686788.0,-292715.0,0.1613,0.181,0.0198,0.37,18.39,0.0683,0.1402,14.44
10,2026-03-18 12:27:57 EDT,all,IWM,248.11,157,154581.0,434607.0,2.812,-44087.37,14943086.0,42085097.0,-27142011.0,0.3873,0.3787,-0.0086,2.31,2.474,-0.1711,0.4041,9.08
10,2026-03-18 12:27:57 EDT,all,QQQ,600.67,308,821807.0,1034916.0,1.259,-7298.28,121580570.0,195974934.0,-74394364.0,0.2794,0.2929,0.0135,3.76,1.454,0.1102,-0.0465,6.75
10,2026-03-18 12:27:57 EDT,all,SPXW,6681.95,572,362834.0,564752.0,1.557,-483.39,391203695.0,735110898.0,-343907202.0,0.24,0.2822,0.0422,36.4,2.153,-0.1035,-0.0973,2.65
10,2026-03-18 12:27:57 EDT,all,SPY,667.2,363,1300011.0,1780403.0,1.37,-21555.04,198319400.0,347726387.0,-149406987.0,0.2229,0.4646,0.2417,3.73,1.458,-0.2135,-0.2508,6.24
10,2026-03-18 12:27:57 EDT,all,TLT,87.35,55,14454.0,12393.0,0.857,9827.01,394085.0,686464.0,-292380.0,0.1613,0.1808,0.0196,0.37,18.401,0.053,0.1523,14.43
11,2026-03-18 12:28:22 EDT,all,IWM,248.06,157,154694.0,435092.0,2.813,-44107.67,14797756.0,42593032.0,-27795276.0,0.3842,0.3794,-0.0048,2.31,2.34,0.0316,0.2793,9.08
11,2026-03-18 12:28:22 EDT,all,QQQ,600.56,306,822185.0,1035859.0,1.26,-7118.28,118973189.0,200149496.0,-81176307.0,0.2982,0.2839,-0.0143,3.76,1.419,-0.0813,-0.0042,6.75
11,2026-03-18 12:28:22 EDT,all,SPXW,6680.23,566,363235.0,578866.0,1.594,-497.39,377081715.0,762960052.0,-385878338.0,0.2418,0.2509,0.0091,36.45,2.342,0.0002,-0.2578,2.66
11,2026-03-18 12:28:22 EDT,all,SPY,667.07,369,1300993.0,1786557.0,1.373,-21738.05,193483784.0,359245820.0,-165762036.0,0.2407,0.4544,0.2137,3.73,1.435,-0.0451,0.1977,6.24
11,2026-03-18 12:28:22 EDT,all,TLT,87.35,55,14454.0,12393.0,0.857,9859.07,394085.0,686464.0,-292380.0,0.1613,0.1809,0.0196,0.37,18.401,0.0403,0.1523,14.43
12,2026-03-18 12:28:49 EDT,all,IWM,248.1,157,154724.0,435149.0,2.812,-44056.68,14955094.0,42412192.0,-27457098.0,0.3837,0.38,-0.0037,2.33,2.424,-0.0756,0.0488,9.08
12,2026-03-18 12:28:49 EDT,all,QQQ,600.59,306,822680.0,1036559.0,1.26,-7111.51,119851695.0,199366320.0,-79514625.0,0.2983,0.2856,-0.0127,3.75,1.472,0.0795,-0.2148,6.75
12,2026-03-18 12:28:49 EDT,all,SPXW,6680.91,563,364305.0,563969.0,1.548,-484.7,396267658.0,731635200.0,-335367542.0,0.2452,0.2482,0.003,36.55,2.069,0.0095,0.0906,2.65
12,2026-03-18 12:28:49 EDT,all,SPY,667.13,362,1303137.0,1784176.0,1.369,-21599.53,197218294.0,354306115.0,-157087820.0,0.2278,0.4628,0.235,3.75,1.441,-0.2036,-0.1136,6.24
12,2026-03-18 12:28:49 EDT,all,TLT,87.34,54,14507.0,11744.0,0.81,10941.27,398224.0,550208.0,-151984.0,0.1816,0.169,-0.0125,0.37,18.776,-0.0552,0.0666,14.65
13,2026-03-18 12:29:16 EDT,all,IWM,248.27,155,155339.0,434882.0,2.8,-43710.61,15906010.0,40967484.0,-25061474.0,0.3791,0.3827,0.0036,2.34,2.49,-0.2308,0.5123,9.07
13,2026-03-18 12:29:16 EDT,all,QQQ,600.68,307,822769.0,1038593.0,1.262,-7093.51,122001074.0,197112562.0,-75111488.0,0.2749,0.2961,0.0212,3.75,1.377,-0.0207,0.3963,6.74
13,2026-03-18 12:29:16 EDT,all,SPXW,6681.24,564,364501.0,564927.0,1.55,-484.44,397627572.0,737321222.0,-339693650.0,0.2435,0.2471,0.0036,36.6,2.228,0.046,-0.1234,2.65
13,2026-03-18 12:29:16 EDT,all,SPY,667.23,370,1303961.0,1787602.0,1.371,-21565.79,201347876.0,350145708.0,-148797832.0,0.2208,0.4867,0.2659,3.75,1.419,-0.1479,0.2028,6.24
13,2026-03-18 12:29:16 EDT,all,TLT,87.35,54,14462.0,12393.0,0.857,9678.97,393900.0,687122.0,-293222.0,0.1559,0.1812,0.0253,0.37,18.444,0.0804,0.1384,14.45
14,2026-03-18 12:29:43 EDT,all,IWM,248.18,155,155643.0,434901.0,2.794,-43927.78,15462608.0,41654338.0,-26191730.0,0.3864,0.3793,-0.0071,2.32,2.416,-0.2943,0.1631,9.07
14,2026-03-18 12:29:43 EDT,all,QQQ,600.54,305,823474.0,1037530.0,1.26,-7111.89,118926068.0,201901861.0,-82975793.0,0.303,0.2832,-0.0198,3.77,1.393,-0.0067,0.1193,6.75
14,2026-03-18 12:29:43 EDT,all,SPXW,6680.69,565,364790.0,579256.0,1.588,-491.84,394075308.0,748914865.0,-354839558.0,0.2437,0.2494,0.0058,36.65,2.053,0.0084,0.0017,2.66
14,2026-03-18 12:29:43 EDT,all,SPY,667.11,364,1304888.0,1785005.0,1.368,-21509.22,196521762.0,354694086.0,-158172324.0,0.2326,0.4618,0.2291,3.74,1.401,0.0592,-0.2287,6.24
14,2026-03-18 12:29:43 EDT,all,TLT,87.34,55,14515.0,12393.0,0.854,10125.37,398070.0,689791.0,-291722.0,0.1775,0.1742,-0.0034,0.37,18.409,-0.0232,0.101,14.23
15,2026-03-18 12:30:09 EDT,all,IWM,248.22,157,155704.0,435942.0,2.8,-43883.55,15662276.0,41778986.0,-26116710.0,0.3853,0.383,-0.0024,2.33,2.406,-0.4119,-0.1586,9.06
15,2026-03-18 12:30:09 EDT,all,QQQ,600.4,300,824334.0,1039266.0,1.261,-7198.55,116314183.0,207498944.0,-91184761.0,0.2897,0.2834,-0.0063,3.83,1.412,-0.109,0.0146,6.75
15,2026-03-18 12:30:09 EDT,all,SPXW,6679.15,568,362732.0,580799.0,1.601,-498.94,380858908.0,784807895.0,-403948988.0,0.2451,0.2506,0.0055,36.75,2.146,0.0376,-0.0357,2.66
15,2026-03-18 12:30:09 EDT,all,SPY,666.99,370,1306006.0,1795512.0,1.375,-21699.92,192259136.0,365547853.0,-173288716.0,0.2444,0.4752,0.2308,3.76,1.381,0.0343,-0.2069,6.26
15,2026-03-18 12:30:09 EDT,all,TLT,87.34,54,14494.0,12393.0,0.855,10537.79,393964.0,691761.0,-297796.0,0.1682,0.1704,0.0022,0.37,18.383,-0.0574,0.0612,14.37
16,2026-03-18 12:30:35 EDT,all,IWM,248.21,156,155996.0,435375.0,2.791,-43782.75,15677980.0,41383106.0,-25705126.0,0.3864,0.379,-0.0074,2.32,2.439,0.1785,0.0535,9.06
16,2026-03-18 12:30:35 EDT,all,QQQ,600.4,302,825397.0,1040986.0,1.261,-7596.78,116124788.0,208621992.0,-92497204.0,0.2912,0.2817,-0.0095,3.82,1.373,0.1295,-0.3447,6.75
16,2026-03-18 12:30:35 EDT,all,SPXW,6679.73,565,365699.0,579709.0,1.585,-494.19,392536090.0,744855580.0,-352319490.0,0.2485,0.2477,-0.0009,36.6,2.145,-0.1559,0.2048,2.66
16,2026-03-18 12:30:35 EDT,all,SPY,667.1,371,1307069.0,1801240.0,1.378,-21719.85,195720051.0,364744457.0,-169024406.0,0.2273,0.4859,0.2586,3.74,1.421,-0.1114,-0.1251,6.26
16,2026-03-18 12:30:35 EDT,all,TLT,87.33,53,14583.0,11015.0,0.755,15755.9,416767.0,426552.0,-9785.0,0.1904,0.1615,-0.029,0.38,18.916,0.0429,-0.0783,14.63
17,2026-03-18 12:31:02 EDT,all,IWM,248.19,157,156095.0,436110.0,2.794,-43836.42,15726172.0,41764860.0,-26038687.0,0.3875,0.381,-0.0066,2.34,2.319,0.2143,-0.1712,9.06
17,2026-03-18 12:31:02 EDT,all,QQQ,600.37,303,826067.0,1041161.0,1.26,-7570.96,117175684.0,210327799.0,-93152114.0,0.2943,0.2786,-0.0156,3.84,1.405,0.0169,-0.1537,6.75
17,2026-03-18 12:31:02 EDT,all,SPXW,6679.38,564,365943.0,581265.0,1.588,-496.78,385908820.0,770504755.0,-384595935.0,0.2445,0.2498,0.0053,36.75,2.121,-0.0669,-0.0214,2.66
17,2026-03-18 12:31:02 EDT,all,SPY,666.97,370,1308241.0,1798790.0,1.375,-21721.94,193219365.0,366891234.0,-173671870.0,0.2472,0.469,0.2218,3.75,1.409,0.0636,-0.1778,6.26
17,2026-03-18 12:31:02 EDT,all,TLT,87.33,54,14585.0,11796.0,0.809,10949.93,417159.0,554457.0,-137298.0,0.1897,0.1615,-0.0282,0.38,18.448,0.0477,-0.0967,14.45
18,2026-03-18 12:31:29 EDT,all,IWM,248.3,156,173812.0,427551.0,2.46,-43267.73,16412368.0,40654488.0,-24242120.0,0.3858,0.3794,-0.0064,2.34,2.573,0.053,0.4015,9.04
18,2026-03-18 12:31:29 EDT,all,QQQ,600.6,311,826720.0,1044111.0,1.263,-7883.19,121500662.0,201663920.0,-80163258.0,0.2774,0.2906,0.0132,3.76,1.51,0.0771,-0.1048,6.74
18,2026-03-18 12:31:29 EDT,all,SPXW,6681.46,565,367982.0,567788.0,1.543,-480.1,406182952.0,722136262.0,-315953310.0,0.246,0.2463,0.0003,36.55,2.166,0.0625,0.1011,2.65
18,2026-03-18 12:31:29 EDT,all,SPY,667.22,369,1309683.0,1804125.0,1.378,-21558.27,201171146.0,356386628.0,-155215483.0,0.2213,0.4851,0.2637,3.74,1.411,-0.2261,0.0554,6.26
18,2026-03-18 12:31:29 EDT,all,TLT,87.34,54,14507.0,12444.0,0.858,10370.75,394897.0,692556.0,-297660.0,0.1694,0.1704,0.001,0.37,18.408,-0.011,-0.082,14.33
19,2026-03-18 12:31:55 EDT,all,IWM,248.16,157,159571.0,436534.0,2.736,-43927.23,15698781.0,42085010.0,-26386230.0,0.3897,0.3808,-0.0089,2.33,2.398,-0.0653,-0.3113,9.08
